warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id
Prague_1,2020-12-05,6895.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196277495769882,0.699945419812608,Prague_1_2020-12-05
Prague_1,2020-12-06,6584.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081218274111675,0.6983989811698355,Prague_1_2020-12-06
Prague_1,2020-12-07,7030.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41082910321489,0.699422359683435,Prague_1_2020-12-07
Prague_1,2020-12-08,6550.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.4057529610829103,0.6964886746111163,Prague_1_2020-12-08
Prague_1,2020-12-09,6910.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.41353637901861257,0.6961930319294096,Prague_1_2020-12-09
Prague_1,2020-12-10,7228.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257191201353638,0.6966933503138362,Prague_1_2020-12-10
Prague_1,2020-12-11,7790.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4223350253807107,0.6975802783589558,Prague_1_2020-12-11
Prague_1,2020-12-12,7165.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4148900169204737,0.697693987082689,Prague_1_2020-12-12
Prague_1,2020-12-13,6844.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41793570219966164,0.6972846356772491,Prague_1_2020-12-13
Prague_1,2020-12-14,7010.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41996615905245344,0.698353497680342,Prague_1_2020-12-14
Prague_1,2020-12-15,7243.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43113367174280876,0.6959883562266898,Prague_1_2020-12-15
Prague_1,2020-12-16,7429.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4318104906937394,0.696102064950423,Prague_1_2020-12-16
Prague_1,2020-12-17,7538.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4480541455160744,0.6972391521877559,Prague_1_2020-12-17
Prague_1,2020-12-18,8072.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43857868020304563,0.697557536614209,Prague_1_2020-12-18
Prague_1,2020-12-19,7868.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433164128595601,0.6971481852087693,Prague_1_2020-12-19
Prague_1,2020-12-20,8128.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514382402707276,0.6963522241426363,Prague_1_2020-12-20
Prague_1,2020-12-21,8605.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011250000000000001,0.0,0.467005076142132,0.6990130082779951,Prague_1_2020-12-21
Prague_1,2020-12-22,8875.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03875000000000001,0.0,0.4483925549915398,0.6989220412990085,Prague_1_2020-12-22
Prague_1,2020-12-23,8968.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034999999999999996,0.0,0.4514382402707276,0.698489948148822,Prague_1_2020-12-23
Prague_1,2020-12-24,4327.0,Christmas Eve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000000000000005,0.0,0.39593908629441626,0.6944191758391705,Prague_1_2020-12-24
Prague_1,2020-12-26,7784.0,2nd Christmas Day,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4686971235194585,0.685095060493041,Prague_1_2020-12-26
Prague_1,2020-12-27,6702.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4236886632825719,0.6826844355498953,Prague_1_2020-12-27
Prague_1,2020-12-28,7210.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358714043993232,0.6826162103156554,Prague_1_2020-12-28
Prague_1,2020-12-29,7597.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42402707275803725,0.6797734922223233,Prague_1_2020-12-29
Prague_1,2020-12-30,7618.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42707275803722505,0.6784089875375239,Prague_1_2020-12-30
Prague_1,2020-12-31,6238.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40135363790186124,0.6769989993632313,Prague_1_2020-12-31
Prague_1,2021-01-01,3754.0,New Years Day,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844331641285956,0.6721322659874467,Prague_1_2021-01-01
Prague_1,2021-01-02,6553.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142131979695432,0.6711543709633403,Prague_1_2021-01-02
Prague_1,2021-01-03,6841.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.4037225042301184,0.6710179204948603,Prague_1_2021-01-03
Prague_1,2021-01-04,7984.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375,0.0,0.4203045685279188,0.6732011279905394,Prague_1_2021-01-04
Prague_1,2021-01-05,7466.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.05040322580645162,0.43214890016920476,0.6761348130628582,Prague_1_2021-01-05
Prague_1,2021-01-06,7422.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.10080645161290323,0.43113367174280876,0.6786818884744839,Prague_1_2021-01-06
Prague_1,2021-01-07,7669.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11750000000000001,0.40322580645161293,0.44467005076142135,0.6817292822705359,Prague_1_2021-01-07
Prague_1,2021-01-08,8083.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024193548387097,0.4284263959390863,0.6833212044028019,Prague_1_2021-01-08
Prague_1,2021-01-09,7555.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375,0.20161290322580647,0.43451776649746193,0.6847766760665879,Prague_1_2021-01-09
Prague_1,2021-01-10,7435.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.20161290322580647,0.4372250423011845,0.6865732739015737,Prague_1_2021-01-10
